Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Hicks, SA; Storås, Andrea; Halvorsen, Pål; de Lange, Thomas; Riegler, MA; Thambawita, Vajira; ",Overview of imageclefmedical 2023–medical visual question answering for gastrointestinal tract,"CLEF2023 Working Notes, CEUR Workshop Proceedings, CEUR-WS. org, Thessaloniki, Greece",,,,2023,
"Ionescu, Bogdan; Müller, Henning; Drăgulinescu, A; Yim, Wen-wai; Abacha, A Ben; Snider, Neal; Adams, Griffin; Yetisgen, Meliha; Rückert, Johannes; de Herrera, A García Seco; ","Overview of ImageCLEF 2023: Multimedia retrieval in medical, socialmedia and recommender systems applications","Experimental IR Meets Multilinguality, Multimodality, and Interaction, Proceedings of the 14th International Conference of the CLEF Association (CLEF 2023), Springer Lecture Notes in Computer Science LNCS, Thessaloniki, Greece",,,,2023,
"Ionescu, Bogdan; Müller, Henning; Péteri, Renaud; Rückert, Johannes; Abacha, Asma Ben; de Herrera, Alba G Seco; Friedrich, Christoph M; Bloch, Louise; Brüngel, Raphael; Idrissi-Yaghir, Ahmad; ","Overview of the ImageCLEF 2022: Multimedia retrieval in medical, social media and nature applications",International Conference of the Cross-Language Evaluation Forum for European Languages,,,541-564,2022,Springer International Publishing Cham
"Al Outa, Amani; Hicks, Steven; Thambawita, Vajira; Andresen, Siri; Enserink, Jorrit M; Halvorsen, Pål; Riegler, Michael A; Knævelsrud, Helene; ","Cellular, a cell autophagy imaging dataset",Scientific data,10,1,806,2023,Nature Publishing Group UK London
"Hicks, Steven; de Herrera, Alba García Seco; Langguth, Johannes; Lommatzsch, Andreas; Andreadis, Stelios; Dao, Minh-Son; Martin, Pierre-Etienne; Hürriyetoglu, Ali; Thambawita, Vajira; Nordmo, Tor-Arne S; ",Working Notes Proceedings of the MediaEval 2022 Workshop,CEUR Workshop Proceedings 3583,,,,2023,
"Rajapaksha, Lahiru Theekshana Weerasinghe; Vidanagamachchi, Sugandima Mihirani; Gunawardena, Sampath; Thambawita, Vajira; ",An Open-Access Dataset of Hospitalized Cardiac-Arrest Patients: Machine-Learning-Based Predictions Using Clinical Documentation,BioMedInformatics,4,1,34-49,2023,MDPI
"Boeker, Matthias; Thambawita, Vajira; Riegler, Michael; Halvorsen, Pål; Hammer, Hugo L; ",Advancing sleep detection by modelling weak label sets: A novel weakly supervised learning approach,arXiv preprint arXiv:2402.17601,,,,2024,
"Ionescu, Bogdan; Müller, Henning; Drăgulinescu, Ana Maria; Idrissi-Yaghir, Ahmad; Radzhabov, Ahmedkhan; Herrera, Alba Garcia Seco de; Andrei, Alexandra; Stan, Alexandru; Storås, Andrea M; Abacha, Asma Ben; ","Advancing Multimedia Retrieval in Medical, Social Media and Content Recommendation Applications with ImageCLEF 2024",European Conference on Information Retrieval,,,44-52,2024,Springer Nature Switzerland Cham
"Gautam, Sushant; Sarkhoosh, Mehdi Houshmand; Held, Jan; Midoglu, Cise; Cioppa, Anthony; Giancola, Silvio; Thambawita, Vajira; Riegler, Michael A; Halvorsen, Pål; Shah, Mubarak; ",SoccerNet-Echoes: A Soccer Game Audio Commentary Dataset,arXiv preprint arXiv:2405.07354,,,,2024,
"Hicks, S; Lommatzsch, A; Hürriyetoglu, A; Vuillemot, R; Constantin, MG; Thambawita, V; Larson, MA; ","MediaEval 2023: Multimedia Benchmark Workshop 2023, Working Notes Proceedings of the MediaEval 2023 Workshop Amsterdam, The Netherlands and Online, 1-2 February 2024",,,,,2024,Sl: CEUR
